ingreso_id,device_id,source,source_priority,match_type,serial_busqueda,serial_encontrado,fecha_fuente,factura,remito,deposito,os_access,confidence_hint,detalle,classification,conclusion_operativa
25221,25221,audit,3,ingresos,5536,5536,2026-02-05 09:49:53.089932-03:00,,,,,baja,"descripcion_problema: FALLA EN PLACA NO DESACTIVA EL LOCK  conector a pantalla ROTO
encoder ROTO
Cable pantalla ROTO
Block de aluminio con perdida
válvula proporcional 200 FALLA


válvula solenoide OK
válvulas inllet Ok 
pantalla LCD ok
táctil OK",,
25221,25221,audit,3,ingresos,5536,5536,2026-02-05 09:49:47.441871-03:00,,,,,baja,"descripcion_problema: FALLA EN PLACA NO DESACTIVA EL LOCK y ficha LCD rota conector a pantalla ROTO
encoder ROTO
Cable pantalla ROTO
Block de aluminio con perdida
válvula proporcional 200 FALLA


válvula solenoide OK
válvulas inllet Ok 
pantalla LCD ok
táctil OK",,
25221,25221,audit,3,ingresos,5536,5536,2026-02-05 09:49:42.953658-03:00,,,,,baja,"descripcion_problema: FALLA EN PLACA NO DESACTIVA EL LOCK Placa control: ficha LCD rota conector a pantalla ROTO
encoder ROTO
Cable pantalla ROTO
Block de aluminio con perdida
válvula proporcional 200 FALLA


válvula solenoide OK
válvulas inllet Ok 
pantalla LCD ok
táctil OK",,
25221,25221,audit,3,ingresos,5536,5536,2026-02-05 09:49:35.780276-03:00,,,,,baja,"descripcion_problema: FALLA EN PLACA NO DESACTIVA EL LOCK  y conector a pantalla ROTO
encoder ROTO
Cable pantalla ROTO
Block de aluminio con perdida
válvula proporcional 200 FALLA


válvula solenoide OK
válvulas inllet Ok 
pantalla LCD ok
táctil OK",,
25221,25221,audit,3,ingresos,5536,5536,2026-02-05 09:49:31.970634-03:00,,,,,baja,"descripcion_problema: FALLA EN PLACA NO DESACTIVA EL LOCK  y conector a pantalla ROTO
encoder ROTO
Cable pantalla ROTO
Block de aluminio con perdida
válvula proporcional 200 FALLA
Placa control: ficha LCD rota

válvula solenoide OK
válvulas inllet Ok 
pantalla LCD ok
táctil OK",,
25221,25221,audit,3,ingresos,5536,5536,2026-02-05 09:49:27.722742-03:00,,,,,baja,"descripcion_problema: FALLA EN PLACA NO DESACTIVA EL LOCK  y conector a pantalla ROTO
encoder ROTO
Cable pantalla ROTO
Block de aluminio con perdida
válvula proporcional 200 FALLA
Placa control: ficha LCD rota
válvula solenoide OK
válvulas inllet Ok 
pantalla LCD ok
táctil OK",,
25221,25221,audit,3,ingresos,5536,5536,2026-02-05 09:49:25.354601-03:00,,,,,baja,"descripcion_problema: FALLA EN PLACA NO DESACTIVA EL LOCK  y conector a pantalla ROTO

válvula solenoide OK
válvulas inllet Ok 
pantalla LCD ok
táctil OK",,
25221,25221,audit,3,ingresos,5536,5536,2026-02-05 09:48:50.162169-03:00,,,,,baja,presupuesto_estado: presupuestado,,
25221,25221,audit,3,ingresos,5536,5536,2026-01-20 14:55:52.055235-03:00,,,,,baja,"descripcion_problema: FALLA EN PLACA NO DESACTIVA EL LOCK  y conector a pantalla ROTO

válvula solenoide OK
válvulas inllet Ok 
pantalla LCD ok
táctil OK

encoder ROTO
Cable pantalla ROTO
Block de aluminio con perdida
válvula proporcional 200 FALLA
Placa control: ficha LCD rota",,
25221,25221,audit,3,ingresos,5536,5536,2026-01-20 11:49:40.119675-03:00,,,,,baja,"descripcion_problema: FALLA EN PLACA NO DESACTIVA EL LOCK  y conector a pantalla ROTO

válvula solenoide OK
válvulas inllet Ok 
pantalla LCD ok
táctil OK

encoder ROTO
Cable pantalla ROTO
Block de aluminio con perdida
valvula proporcional 200 FALLA
Placa control: ficha LCD rota",,
25221,25221,audit,3,ingresos,5536,5536,2026-01-20 11:49:34.179252-03:00,,,,,baja,"descripcion_problema: FALLA EN PLACA NO DESACTIVA EL LOCK  y conector a pantalla ROTO

válvula solenoide OK
válvulas inllet Ok 
pantalla LCD ok
táctil OK

encoder ROTO
Cable pantalla ROTO
BLOCK de
valvula proporcional 200 FALLA
Placa control: ficha LCD rota",,
25221,25221,audit,3,ingresos,5536,5536,2026-01-20 11:49:33.208139-03:00,,,,,baja,"descripcion_problema: FALLA EN PLACA NO DESACTIVA EL LOCK  y conector a pantalla ROTO

válvula solenoide OK
válvulas inllet Ok 
pantalla LCD ok
táctil OK

encoder ROTO
Cable pantalla ROTO
BLOCK 
valvula proporcional 200 FALLA
Placa control: ficha LCD rota",,
25221,25221,audit,3,ingresos,5536,5536,2026-01-20 11:49:31.142704-03:00,,,,,baja,"descripcion_problema: FALLA EN PLACA NO DESACTIVA EL LOCK  y conector a pantalla ROTO

válvula solenoide OK
válvulas inllet Ok 
pantalla LCD ok
táctil OK

encoder ROTO
Cable pantalla ROTO

valvula proporcional 200 FALLA
Placa control: ficha LCD rota",,
25221,25221,audit,3,ingresos,5536,5536,2026-01-20 11:49:22.405342-03:00,,,,,baja,"descripcion_problema: FALLA EN PLACA NO DESACTIVA EL LOCK  y conector a pantalla ROTO

válvula solenoide OK
válvulas inllet Ok 
pantalla LCD ok
táctil OK

encoder ROTO
Cable pantalla ROTO
valvula proporcional 200 FALLA
Placa control: ficha LCD rota",,
25221,25221,audit,3,ingresos,5536,5536,2026-01-20 11:49:13.720723-03:00,,,,,baja,"trabajos_realizados: Piezas a reemplazar: VÁLVULA PROPORCIONAL DE 200LPM - BLOCK de aluminio - PLACA PRINCIPAL - CABLE PANTALLA - ENCODER
",,
25221,25221,audit,3,ingresos,5536,5536,2026-01-20 10:58:24.018151-03:00,,,,,baja,"trabajos_realizados: Piezas a reemplazar: VÁLVULA PROPORCIONAL DE 200LPM - VALVULA REGULADORA DE PRESIÓN - PLACA PRINCIPAL - CABLE PANTALLA - ENCODER
",,
